Case #,Question,Answer,Simplefied question,Simplified Answer
"""00001078""","We are currently in the process of migrating to Shopify for our website platform and had some questions around GA4/GTM best practices. Hoping that you could help answer or point us in the right direction. For context - we are planning to use GA4/GTM for all of our front event logging and behavior reporting (in the past we have used Segment). 


Should we be setting up an entirely new GA4 implementation for our Shopify site or should we use the existing GA4 that is hooked up to our legacy site? I am assuming that things like our checkout flow/add to bag triggers would have to change as they are different front ends? 
In terms of GTM, do we need to set up a new instance or container for Shopify? Trying to figure out best practices here. ","GA4 Property - There is no reason you would need to switch properties if you’re already using GA4 and it’s still the same site, but just the e-commerce portion is changing. Some of your e-commerce events will probably change, but being able to compare performance as a whole against historical data would be useful if you kept your existing GA4 property. That said, if you don’t like your existing setup and want to start over across the site with your implementation/setup, it might be worth starting fresh with a new one. 

GTM Container - Again, there wouldn’t be any harm in keeping your existing GTM container. However, you will probably have to update your existing e-commerce implementation to account for your new flow and new triggers (if they are not currently based on data layer events that are being transferred to the new Shopify platform). Same disclaimer as I gave above, if you want to start fresh on your implementation as a whole, it might be worth setting up a new container



Also, it sounds like you’ve already started with GA4 and GTM, but are new to it, so wanted to also just give you some other important items that you can unlock within GA4: 
If you are moving away from Segment and want to maintain insight into cross-channel tracking and audiences, GA4 seamlessly integrates with Google Marketing Platform products, including Search Ads 360 and Display and Video 360. If integrated, you can see cross-channel attribution data in the Model comparison and Conversion paths reports. GA4 also exports audiences and conversion data to Search Ads 360 and Display and Video 360, and you can use those conversions for custom bidding on both media platforms.
Provides machine learning capabilities in a lot of areas (predictive audiences, insights, conversion modeling) that will allow you to market more effectively, but also help you with solutions as more privacy restrictions come into play. 
Allows you to consolidate mobile app and web data in one property 
Includes Explore reporting, which allows for ad hoc analysis and data visualization options within the tool (unsampled and limited lookback window restrictions with 360)","Should we start fresh with a new Google Analytics 4 property for our Shopify site, or use the existing one from our legacy site?","You can likely keep your existing GA4 property and just update the e-commerce events and triggers specific to Shopify. This way, you can compare performance over time and maintain historical data. However, if you're unhappy with your current setup or want a clean slate, starting fresh with a new GA4 property for Shopify is also an option."
"""00001078""","We are currently in the process of migrating to Shopify for our website platform and had some questions around GA4/GTM best practices. Hoping that you could help answer or point us in the right direction. For context - we are planning to use GA4/GTM for all of our front event logging and behavior reporting (in the past we have used Segment). 


Should we be setting up an entirely new GA4 implementation for our Shopify site or should we use the existing GA4 that is hooked up to our legacy site? I am assuming that things like our checkout flow/add to bag triggers would have to change as they are different front ends? 
In terms of GTM, do we need to set up a new instance or container for Shopify? Trying to figure out best practices here. ","GA4 Property - There is no reason you would need to switch properties if you’re already using GA4 and it’s still the same site, but just the e-commerce portion is changing. Some of your e-commerce events will probably change, but being able to compare performance as a whole against historical data would be useful if you kept your existing GA4 property. That said, if you don’t like your existing setup and want to start over across the site with your implementation/setup, it might be worth starting fresh with a new one. 

GTM Container - Again, there wouldn’t be any harm in keeping your existing GTM container. However, you will probably have to update your existing e-commerce implementation to account for your new flow and new triggers (if they are not currently based on data layer events that are being transferred to the new Shopify platform). Same disclaimer as I gave above, if you want to start fresh on your implementation as a whole, it might be worth setting up a new container



Also, it sounds like you’ve already started with GA4 and GTM, but are new to it, so wanted to also just give you some other important items that you can unlock within GA4: 
If you are moving away from Segment and want to maintain insight into cross-channel tracking and audiences, GA4 seamlessly integrates with Google Marketing Platform products, including Search Ads 360 and Display and Video 360. If integrated, you can see cross-channel attribution data in the Model comparison and Conversion paths reports. GA4 also exports audiences and conversion data to Search Ads 360 and Display and Video 360, and you can use those conversions for custom bidding on both media platforms.
Provides machine learning capabilities in a lot of areas (predictive audiences, insights, conversion modeling) that will allow you to market more effectively, but also help you with solutions as more privacy restrictions come into play. 
Allows you to consolidate mobile app and web data in one property 
Includes Explore reporting, which allows for ad hoc analysis and data visualization options within the tool (unsampled and limited lookback window restrictions with 360)","Do we need a separate GTM container for our Shopify site, or can we use our existing one?","You can typically stick with your existing GTM container, but you'll need to update the e-commerce implementation to reflect the new Shopify flow and trigger points. If it's based on data layer events transferred to Shopify, adjustments might be minimal. Again, you can also choose to start fresh with a new GTM container specifically for Shopify if you prefer."
"""00001078""","We are currently in the process of migrating to Shopify for our website platform and had some questions around GA4/GTM best practices. Hoping that you could help answer or point us in the right direction. For context - we are planning to use GA4/GTM for all of our front event logging and behavior reporting (in the past we have used Segment). 


Should we be setting up an entirely new GA4 implementation for our Shopify site or should we use the existing GA4 that is hooked up to our legacy site? I am assuming that things like our checkout flow/add to bag triggers would have to change as they are different front ends? 
In terms of GTM, do we need to set up a new instance or container for Shopify? Trying to figure out best practices here. ","GA4 Property - There is no reason you would need to switch properties if you’re already using GA4 and it’s still the same site, but just the e-commerce portion is changing. Some of your e-commerce events will probably change, but being able to compare performance as a whole against historical data would be useful if you kept your existing GA4 property. That said, if you don’t like your existing setup and want to start over across the site with your implementation/setup, it might be worth starting fresh with a new one. 

GTM Container - Again, there wouldn’t be any harm in keeping your existing GTM container. However, you will probably have to update your existing e-commerce implementation to account for your new flow and new triggers (if they are not currently based on data layer events that are being transferred to the new Shopify platform). Same disclaimer as I gave above, if you want to start fresh on your implementation as a whole, it might be worth setting up a new container



Also, it sounds like you’ve already started with GA4 and GTM, but are new to it, so wanted to also just give you some other important items that you can unlock within GA4: 
If you are moving away from Segment and want to maintain insight into cross-channel tracking and audiences, GA4 seamlessly integrates with Google Marketing Platform products, including Search Ads 360 and Display and Video 360. If integrated, you can see cross-channel attribution data in the Model comparison and Conversion paths reports. GA4 also exports audiences and conversion data to Search Ads 360 and Display and Video 360, and you can use those conversions for custom bidding on both media platforms.
Provides machine learning capabilities in a lot of areas (predictive audiences, insights, conversion modeling) that will allow you to market more effectively, but also help you with solutions as more privacy restrictions come into play. 
Allows you to consolidate mobile app and web data in one property 
Includes Explore reporting, which allows for ad hoc analysis and data visualization options within the tool (unsampled and limited lookback window restrictions with 360)",What are some additional benefits of using GA4 for Shopify?,"GA4 offers several advantages beyond basic tracking:

Cross-channel insights: Seamless integration with Google Marketing Platform tools like Search Ads 360 and Display & Video 360 for cross-channel attribution and audience management.
Machine learning: Predictive audiences, conversion modeling, and other AI-powered features for improved marketing effectiveness and addressing privacy concerns.
Unified data: Combine mobile app and web data in one property for a holistic view of user behavior.
Flexible reporting: Explore reports enable ad-hoc analysis and data visualization within the tool.
Ultimately, the decision of whether to reuse existing setups or start fresh depends on your specific needs and preferences. Consider the value of historical data, your comfort level with existing configurations, and your interest in using GA4's advanced features."
"""00001592""","Hi,

Our data is affected by the attribution bug<https://www.ga4bigquery.com/how-to-fix-major-ga4-misattribution-bug-for-paid-search-events-and-sessions-gclid/> that causes Google Ads UTMs to not be captured in the BigQuery export. This causes all of our paid search data to come in as:


* Source: google
* Medium: organic
* Campaign: (organic)

Thus, this traffic would be categorized under the Organic Search channel instead of Paid Search. We have applied logic to change these values to google/cpc/Unknown if a gclid is present in the collected_traffic_source columns, which fixes things at the channel level. However, there doesn't seem to be a solution for grabbing the campaign/UTM information within the GA4 export. I checked the data to see if we could grab this information from the UTMs in the URL (query attached). However, it appears that campaigns that are auto-tagged in Google Ads are not populating UTMs at all.

In order to get the campaign info for past data, the (theoretical) solution I see is to export Google Ads data so we can map the gclid to the UTMs associated with it. That is assuming that gclid and UTM info have a 1:1 relationship. I'm not sure how data is structured on the Google Ads side. Furthermore, this would require us to export the Google Ads data somehow. This can either be done through a third party (like Stitch), which we will have to foot the bill for, or with our own development resources through the Google Ads API, which will cost us time and effort.

Having Paid Search attribution down to the campaign/UTM level is essential for several business processes we rely on, so any advice you have on other ways to rectify this issue or information on Google's plans to fix it are appreciated. Please let me know if you have any questions with this or if you need any more information to move forward on a solution. Thanks in advance.","I have received word back from Google in regards to the Click ID widening as well as the iOS issue they brought up:

1. Click Widening:

Click ID Widening was the top requested feature in our Global Product Prio Process so will be prioritized and worked on as part of the ""Channel Groups export in BQ"" feature. However, it has not yet been fully evaluated and added to the roadmap so it is still TBD but I'd say it will probably come sometime H1, maybe Q1 since it's the top request

Once they have determined the route to upgrade, they will update their internal roadmap and share it with us. We can send this update over to you once we receive it!


2. iOS Issue:

Google Product Team is working with the Ads team to make ""gbraid/wbraid"" support possible (iOS 14) 

So much less of a break and just more about the recent iOS version update that removes the URL parameters sent over by links. [Analytics Help] Updates to iOS 14+ campaign measurement

I hope this information helps!","Our Paid Search data in BigQuery is misattributed to Organic due to a known bug. While we fixed channel level issues, campaign/UTM data is missing. We need a way to retrieve past campaign data, either via Google Ads export (costly) or API (time-consuming). We need a fix or info on Google's plan to address this critical issue.","Click ID Widening:

Good news! It's a top priority and likely coming in H1 2024 (possibly Q1) as part of the ""Channel Groups export in BQ"" feature.
Timeline is still tentative, but expect an update from Google once they solidify the plan.
iOS Issue:

Google is actively working on implementing ""gbraid/wbraid"" support for iOS 14 to address the URL parameter loss.
It's not a complete fix, but it should improve measurement capabilities.
Overall:

Both issues are being addressed, with progress and potential solutions in the near future."
"""00001633""","Our customer engagement team has reported they are not seeing traffic from some European countries in their GA data. When I tested with one of my London colleagues, we see the attached ""Refused to connect"" error. Do you know what's causing this and how we can fix?

We launched the new customer support site earlier this month. I believe Google Analytics was implemented via a Salesforce connector in this case.

I've given support-team@searchdiscovery.com<mailto:support-team@searchdiscovery.com> access to the property below:

Property: 371905174
Property Name: Customer Zone
url: https://customerzone.ap.org/cz/s/","It looks like the Content Security Policy is refusing to connect to the GA source. This article has details on allowing GA in your CSP.

link to article: https://developers.google.com/tag-platform/security/guides/csp#google_analytics_4_google_analytics","
European traffic missing in Google Analytics for new customer support site. We see ""Refused to connect"" error, likely due to Salesforce connector implementation. Can you help diagnose and fix the issue?","It looks like the Content Security Policy is refusing to connect to the GA source. This article has details on allowing GA in your CSP.

link to article: https://developers.google.com/tag-platform/security/guides/csp#google_analytics_4_google_analytics"
"""00001640""","Hello,

We have an issue with one of our clients where we've identified a great
amount of duplicate transactions that are inflating conversion rate and
revenue. We've identified and fixed the cause of this, but the data is
still present in Google Analytics.

We'd like to know if there's any way to remove this data from GA. Data
Deletion does not seem to be a viable option, and we can't issue ""refunds""
to these events as dupes have the same transaction ID as the original
purchases.

Is there any way to remove these so that they are not reported on?","Google does require that a transaction ID be passed with a user identifier (user id, google signals, client id, etc). If this is not followed, then duplicate transactions will be counted. If your transactions are accompanied by a user identifier, then GA4 will automatically dedupe these transactions in the UI.

[Help Article] Minimize duplicate conversions with transaction IDs: https://support.google.com/analytics/answer/12313109?hl=en#:~:text=You%20must%20add%20a%20transaction,with%20the%20same%20transaction%20ID.

In regard to removing transactions, these transactions at the time of purchase will remain in the system. As this is not a transactional database but a behavioral database, deleting these transactions is not possible. They do have the refund capability for this purpose, but making sure a system is set up to properly send data to GA4 in relation to transactions is how to prevent this issue.

If the issue has been fixed, that is great! If you are doing any reporting outside of GA4 (e.g. pulling data from BQ), you can add logic into your queries to pull unique transaction IDs to properly report on revenue from there.

I wish there was better news here, however, the Google team has recommended the above preventative measures due to the fact that removing these data points is currently not available.
","
Our client has inflated GA data due to duplicate transactions. The cause is fixed, but we can't delete or refund the duplicates because they share IDs with originals. Can we somehow remove them from GA reporting?","To avoid duplicate transactions in Google Analytics 4:

Always send a unique transaction ID with each purchase event.
Make sure your system properly sends transaction data to GA4.
Use refunds within GA4 to correct mistakes (not to entirely remove transactions).
If reporting outside GA4, use query logic to filter for unique transaction IDs.
Remember: Deleting transactions is not possible in GA4, so prevention is key.

Minimize duplicate conversions with transaction IDs: https://support.google.com/analytics/answer/12313109?hl=en#:~:text=You%20must%20add%20a%20transaction,with%20the%20same%20transaction%20ID."
"""00001873""","Hello,

I am working on testing custom variables that our developers have created which have been sent along with their corresponding custom events. We are using a non GTM implementation, so hard coded custom events and variables and I cannot find a spot in GA4 that shows those custom variables that are getting sent along with the events. (I can see the events) I am also curious on the relationship between custom events, dimensions, metrics, and variables.

Thanks for your help,","Debug Mode will be your friend when trying to confirm if PARAMETERS are being sent with your events (specifically the gtag method):

https://support.google.com/analytics/answer/7201382?hl=en#zippy=%2Cgoogle-tag-gtagjs

You can also visit your ""Events"" report and click on an event to be taken to an in-depth Event report (although this method can sometimes not show some parameters being sent).

Path to Events: Reports (left nav) ==> Engagement ==> Events ==> Click on the event name you wish to investigate.

In regard to custom events, dimensions, metrics, and variables, I think we can help there.

First, let's switch to using ""parameter"" from ""variables"", it will help the conversation a little bit (hence me using parameters above). Parameters are sent with a custom event and simply carry values to GA4. A custom event is just any other event that is not an automatic event or recommended event.

In the GA4 UI, Dimensions and Metrics are what are used in your reports. A custom parameter must be upgraded into a custom dimension or metric to be used in reporting (you cannot simply use a parameter and add it to a report). 

Once you upgrade a parameter in the GA4 UI to a custom dimension or metric, you will be able to add them to your reports as expected.

If you are using BQ for your reporting, you will see the parameters available with each event (there is not the concept of dimensions or metrics in BQ, just values that you can use as you see fit).","Can't find custom variables sent with custom events in non-GTM GA4 setup.
Seeing events, not variables. Confused about dimensions, metrics, and variable roles.
Need help understanding custom event data flow and relationships.","Use Debug Mode to confirm parameter transmission (especially for gtag events).
Check the Events Report for detailed event data (may not show all parameters).
Remember: Parameters (data you send) need to be upgraded to custom dimensions or metrics (used in reports) in GA4 UI.
BigQuery shows all parameters, no need for upgrading.

https://support.google.com/analytics/answer/7201382?hl=en#zippy=%2Cgoogle-tag-gtagjs"
,,,"I can't find the custom variables I sent with my custom events in my non-GTM GA4 setup. I only see the events, not the variables. I'm confused about the difference between dimensions, metrics, and variables, and how they relate to custom event data.","I understand your confusion. Here's how to troubleshoot and understand your custom event data:

1. Debugging Parameter Transmission:

Debug Mode: Check if parameters are being sent with your events using Debug Mode. This is especially helpful for the gtag method.
Events Report: Click on a specific event in the Reports > Engagement > Events section. This can sometimes show parameters.
2. Custom Parameters vs. Dimensions and Metrics:

Use ""parameter"" instead of ""variable"": Parameters are sent with events and hold values. Custom events are any events besides automatic or recommended ones.
Dimensions and metrics for reporting: In GA4 UI, you use dimensions and metrics to build reports. Parameters need to be upgraded to custom dimensions or metrics before you can use them in reports.
BigQuery: In BigQuery, you'll see all parameters for each event (no dimensions or metrics concept, just raw values).
Additional tips:

Upgrade relevant parameters: Choose parameters you want to report on and upgrade them to custom dimensions or metrics in the GA4 UI.
BQ queries: Use query logic in BigQuery to filter and analyze specific parameters based on your needs.
Remember, preventing duplicate transactions is crucial. If you have any further questions or need specific help with your setup, feel free to ask!

Note: I adjusted the answer slightly to better address your specific questions about custom variables and data flow.

https://support.google.com/analytics/answer/7201382?hl=en#zippy=%2Cgoogle-tag-gtagjs"
"""00001631""","We had a couple GA4 questions pop up this week, hoping we can use these as part of our monthly support hours. If not, let me know the best avenue to get support.

72-hour BigQuery update. This documentation is a bit a confusing to me: https://support.google.com/analytics/answer/9358801?hl=en#:~:text=Daily%20export%20tables,a%20processing%20error. I’m trying to understand if the 72-hour update just inserts delayed records, or if it also makes updates to existing records. This will affect how we architect our pipelines from BQ to Snowflake and downstream reporting tables. Does SDI have any context on this?
 

We are in the process of redirecting our app data to our web property. Max Keeler (cc’ed) is in charge of app development. He has some questions regarding the impact to Firebase:
 

Our Unity app uses Firebase as a backend for data, storage and push messaging. We’ve also configured Firebase Analytics (aka GA4) with the same project info. As our company matures, we’d like to combine our website usage analytics data with our mobile app analytics via data streams.

 

Currently we are using a separate GA4 account that has 4 data streams for the different app instances. We would like to update this to reflect our consolidated/production GA4 account that Hannah and Sam have been working on. This will allow us to combine our app and website and server data under a single roof, which is the overall aim.

 

These data streams cover both Google play and IOS applications and have two data streams each. Sam has replicated the data streams that we had on the separate GA4 account in the production account, but we are wondering the best way to integrate our app data while retaining the configuration for our existing Firebase project?

 

Please let us know if you need more context.","The 72-hour update window in BigQuery refers to the potential delay for data processing. While data usually arrives within 24 hours, it can take up to 72 hours in rare cases with massive data volumes requiring extra processing power for source and user attribution.

Therefore, the update:

Typically only adds new records from the previous day.
May occasionally adjust existing data if errors or late events require reprocessing after initial import.
This means you can generally design your pipeline assuming new data additions. However, it's prudent to handle potential updates to existing records, such as by using BigQuery's built-in partitioning and merge functionality.

If you're particularly concerned about data freshness or unexpected updates, consider:

Monitoring BigQuery export status to track data arrival times.
Implementing data validation checks after import to identify any discrepancies.
I hope this clarifies the potential impact of the 72-hour update and helps you build a robust data pipeline.",BigQuery 72-hour update: Does the update only add new records or also adjust existing data? This is crucial for pipeline architecture to Snowflake and downstream reporting.,"BigQuery updates mostly add new data (up to 72 hours old). It rarely changes existing data. You can build your pipeline for new data, but be prepared to handle occasional updates to existing records just in case."
"""00001637""",looks like it may be capturing incorrect Total and Revenue amounts.  They also use Shopify. Can you look into this?,"Looks like Spotify integration, so they will need whoever manages that to help. 

They deleted a GA4 purchase tag in GTM and noted it was being done directly in Shopify

If it can't be tweaked on the Shopify side, you can probably make a custom metric that combines Total Revenue with Tax and Shipping metrics.",Are Shopify transactions in Google Analytics 4 showing incorrect total and revenue amounts compared to Shopify itself or another source?,"It could be a Spotify integration issue or a missing GA4 tag
Solution options:

Check if the Shopify integration needs fixing.
If not, create a custom metric in GA4 combining Total Revenue with Tax and Shipping.
"
